"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
" 48-60","33","0","0","1.5","0","0","1.5","21.2","5.7","36.7","6.1","0","15.7","3","0","10.4","0.58","0.85"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","227","0.4","0","1.5","0.4","0","1.5","33.9","27.5","40.3","8.8","4.9","12.7","0.9","0","2.3","0.6","1.06"
" 0-5","29","3.4","0","11.8","3.4","0","11.8","24.1","6.8","41.4","6.9","0","17.8","0","0","1.7","0.17","1.22"
" 6-11","46","0","0","1.1","0","0","1.1","34.8","19.9","49.6","6.5","0","14.7","0","0","1.1","0.53","1.08"
" 12-23","53","0","0","0.9","0","0","0.9","49.1","34.7","63.5","5.7","0","12.8","0","0","0.9","0.87","0.92"
" 24-35","34","0","0","1.5","0","0","1.5","50","31.7","68.3","26.5","10.2","42.8","2.9","0","10.1","0.97","1.28"
" 36-47","32","0","0","1.6","0","0","1.6","12.5","0","25.5","6.3","0","16.2","0","0","1.6","0.3","0.83"
" 48-60","33","0","0","1.5","0","0","1.5","21.2","5.7","36.7","3","0","10.4","3","0","10.4","0.57","0.82"
